timestamp_s,frame_idx,track_id,x1,y1,x2,y2,conf
17.384,521,162,1318,502,1458,625,0.7926267385482788
17.384,521,187,1754,470,1919,616,0.69039386510849
17.384,521,171,1546,518,1661,638,0.5618352890014648
17.384,521,158,1545,500,1734,637,0.5235751271247864
17.417,522,197,141,548,588,851,0.8877502083778381
17.417,522,162,1330,503,1466,624,0.855790913105011
17.417,522,188,931,509,1152,701,0.7576444149017334
17.417,522,158,1552,497,1741,637,0.6843907833099365
17.417,522,187,1761,448,1918,615,0.6322115063667297
17.451,523,197,184,535,626,838,0.861683189868927
17.451,523,162,1339,501,1474,624,0.846953809261322
17.451,523,188,952,516,1173,695,0.8285859227180481
17.451,523,158,1557,498,1745,636,0.714346706867218
17.451,523,187,1766,461,1919,612,0.5107744336128235
17.484,524,197,245,547,662,827,0.8605439066886902
17.484,524,188,976,511,1189,693,0.8222123980522156
17.484,524,162,1348,492,1486,623,0.8093386888504028
17.484,524,199,0,520,354,771,0.8020042777061462
17.484,524,158,1564,497,1752,633,0.6840221881866455
17.484,524,171,1565,516,1682,635,0.5101199150085449
17.484,524,193,1774,467,1918,612,0.5068182349205017
17.518,525,197,288,526,693,825,0.8651764392852783
17.518,525,188,995,520,1202,691,0.7977001070976257
17.518,525,199,5,530,373,759,0.7796685099601746
17.518,525,162,1359,497,1493,621,0.7714590430259705
17.518,525,158,1571,494,1754,630,0.6873118877410889
17.518,525,193,1778,503,1918,613,0.49577897787094116
17.518,525,171,1575,518,1685,634,0.38049766421318054
17.551,526,197,340,524,725,816,0.8418372273445129
17.551,526,188,1017,505,1223,688,0.794248104095459
17.551,526,162,1368,496,1502,620,0.7473437786102295
17.551,526,199,47,524,412,760,0.7214232683181763
17.551,526,171,1582,520,1697,633,0.5654173493385315
17.551,526,193,1781,485,1919,612,0.41829991340637207
17.551,526,158,1578,499,1762,628,0.3857237696647644
17.584,527,197,384,528,758,811,0.8312395215034485
17.584,527,188,1034,507,1235,685,0.8186134696006775
17.584,527,162,1378,499,1509,620,0.7649143934249878
